raw_id,cluster_index,merge_type,ID,survived
8287,182,merged,183.0,True
14749,1159,merged,1128.0,True
26632,1052,merged,1024.0,True
21135,824,merged,811.0,True
21272,824,merged,811.0,True
15047,910,merged,892.0,True
25770,166,merged,167.0,True
4571,403,merged,403.0,True
27198,1096,merged,1067.0,True
16338,882,merged,866.0,True
16881,1164,merged,1133.0,True
14615,845,merged,832.0,True
19335,1129,merged,1099.0,True
9326,679,merged,670.0,True
816,932,merged,914.0,True
41233,1150,merged,1119.0,True
32746,715,merged,706.0,True
31759,756,merged,745.0,True
24368,1161,merged,1130.0,True
4219,772,merged,760.0,True
18440,147,merged,148.0,True
20098,142,merged,143.0,True
14112,943,merged,924.0,True
25328,1198,merged,1164.0,True
3100,17,merged,18.0,True
23059,1163,merged,1132.0,True
22925,1252,merged,1213.0,True
10000,836,merged,823.0,True
17620,537,merged,532.0,True
24475,1197,merged,1163.0,True
7659,562,merged,557.0,True
17468,142,merged,143.0,True
11287,309,merged,309.0,True
19655,96,merged,97.0,True
37800,678,merged,669.0,True
33831,189,merged,190.0,True
3510,240,merged,241.0,True
21263,1224,merged,1189.0,True
1033,1155,merged,1124.0,True
4052,1241,merged,1203.0,True
28993,816,merged,804.0,True
20176,575,merged,570.0,True
7679,118,merged,119.0,True
7656,599,merged,593.0,True
17042,910,merged,892.0,True
23053,1054,merged,1026.0,True
21156,770,merged,758.0,True
38360,957,merged,937.0,True
12929,674,merged,665.0,True
38377,678,merged,669.0,True
39965,1209,merged,1175.0,True
4042,60,merged,61.0,True
28008,1268,seed,1227.0,True
16863,248,merged,249.0,True
24593,1147,merged,1116.0,True
26260,166,merged,167.0,True
28349,1066,merged,1037.0,True
1390,1087,merged,1058.0,True
20914,945,merged,926.0,True
18265,657,merged,648.0,True
17020,1164,merged,1133.0,True
26386,798,merged,786.0,True
39466,517,merged,513.0,True
22862,1101,merged,1072.0,True
15705,1269,seed,1228.0,True
32314,404,merged,404.0,True
25299,166,merged,167.0,True
21201,527,merged,523.0,True
15913,531,merged,527.0,True
31835,404,merged,404.0,True
39004,1044,merged,1017.0,True
38819,957,merged,937.0,True
30915,397,merged,397.0,True
40832,598,merged,592.0,True
3539,365,merged,365.0,True
923,1155,merged,1124.0,True
35379,731,merged,722.0,True
34049,671,merged,662.0,True
37332,1120,merged,1090.0,True
35479,740,merged,731.0,True
41180,1110,merged,1080.0,True
19001,1170,merged,1138.0,True
5617,1270,seed,1229.0,True
33341,665,merged,656.0,True
19664,157,merged,158.0,True
33463,665,merged,656.0,True
36536,825,merged,812.0,True
21142,265,merged,266.0,True
30508,406,merged,406.0,True
38915,1150,merged,1119.0,True
9178,997,merged,975.0,True
11694,315,merged,315.0,True
10706,286,merged,286.0,True
30235,299,merged,299.0,True
8071,191,merged,192.0,True
20312,1117,merged,1087.0,True
17830,833,merged,820.0,True
40924,698,merged,689.0,True
37544,957,merged,937.0,True
28463,968,merged,948.0,True
23277,781,merged,769.0,True
10020,1178,merged,1146.0,True
36532,565,merged,560.0,True
16601,1164,merged,1133.0,True
7519,1116,merged,1086.0,True
9180,1068,merged,1039.0,True
5482,138,merged,139.0,True
28633,1066,merged,1037.0,True
5730,1118,merged,1088.0,True
4462,403,merged,403.0,True
39851,1209,merged,1175.0,True
18167,1051,merged,1023.0,True
996,197,merged,198.0,True
19416,538,merged,533.0,True
29197,406,merged,406.0,True
38880,431,merged,430.0,True
33800,1244,merged,1205.0,True
23203,228,merged,229.0,True
15270,769,merged,757.0,True
41039,753,merged,743.0,True
8917,997,merged,975.0,True
29838,483,merged,481.0,True
7913,607,merged,601.0,True
2453,1126,merged,1096.0,True
20400,1114,merged,1084.0,True
27001,1208,merged,1174.0,True
10769,1157,merged,1126.0,True
36534,720,merged,711.0,True
30763,406,merged,406.0,True
15833,1269,merged,1228.0,True
39368,652,merged,643.0,True
19048,421,merged,421.0,True
38685,825,merged,812.0,True
15921,361,merged,361.0,True
23969,499,merged,497.0,True
27550,968,merged,948.0,True
2443,1149,merged,1118.0,True
35611,1029,merged,1003.0,True
35429,643,merged,634.0,True
22638,1019,merged,994.0,True
2023,109,merged,110.0,True
40927,744,merged,734.0,True
33466,1001,merged,978.0,True
39547,831,merged,818.0,True
40820,744,merged,734.0,True
1450,185,merged,186.0,True
28723,702,merged,693.0,True
38418,295,merged,295.0,True
7412,1206,merged,1172.0,True
19676,908,merged,891.0,True
20743,747,merged,737.0,True
3307,1260,merged,1220.0,True
9884,490,merged,488.0,True
5491,53,merged,54.0,True
40581,1033,merged,1007.0,True
3328,365,merged,365.0,True
7954,977,merged,956.0,True
12811,674,merged,665.0,True
40794,1033,merged,1007.0,True
37657,598,merged,592.0,True
36521,1109,merged,1079.0,True
21127,1224,merged,1189.0,True
5248,32,merged,33.0,True
4655,1229,merged,1193.0,True
36654,825,merged,812.0,True
35649,592,merged,587.0,True
41053,467,merged,466.0,True
24437,274,merged,275.0,True
32773,665,merged,656.0,True
10366,1157,merged,1126.0,True
31036,397,merged,397.0,True
37074,598,merged,592.0,True
4798,935,merged,917.0,True
5843,1118,merged,1088.0,True
3414,1260,merged,1220.0,True
1113,185,merged,186.0,True
8343,569,merged,564.0,True
34916,1084,merged,1055.0,True
9059,902,merged,885.0,True
40340,517,merged,513.0,True
34569,1084,merged,1055.0,True
